SEED,OVERALL RECORD,BEST FINISH,WINS,LOSSES,BEST FINISH TYPE,BEST FINISH COUNT
1,534-134,Champions (26 times),534,134,Champion,26
2,373-155,Champions (five times),373,155,Champion,5
3,294-156,Champions (four times),294,156,Champion,4
4,250-158,Champion (two times),250,158,Champion,2
5,183-160,Runner-up (four times),183,160,Runner-up,4
6,168-159,Champions (once),168,159,Champion,1
7,141-159,Champions (once),141,159,Champion,1
8,113-159,Champions (once),113,159,Champion,1
9,98-160,Final Four (two times),98,160,Final Four,2
10,97-159,Final Four (once),97,159,Final Four,1
11,105-160,Final Four (five times),105,160,Final Four,5
12,81-160,Elite Eight (two times),81,160,Elite Eight,2
13,39-160,Sweet 16 (six times),39,160,Sweet 16,6
14,25-160,Sweet 16 (two times),25,160,Sweet 16,2
15,16-160,Sweet 16 (once),16,160,Sweet 16,1
16,2-160,Second round (two times),2,160,Second round,2
