SEED,OVERALL RECORD,BEST FINISH
No. 1,515-131,Champions (25 times)
No. 2,363-151,Champions (five times)
No. 3,287-152,Champions (four times)
No. 4,243-154,Champion (two times)
No. 5,180-156,Runner-up (four times)
No. 6,163-155,Champions (once)
No. 7,139-155,Champions (once)
No. 8,111-155,Champions (once)
No. 9,96-156,Final Four (two times)
No. 10,94-155,Final Four (once)
No. 11,104-156,Final Four (five times)
No. 12,79-156,Elite Eight (two times)
No. 13,39-156,Sweet 16 (six times)
No. 14,25-156,Sweet 16 (two times)
No. 15,16-156,Sweet 16 (once)
No. 16,2-156,Second round (two times)
